Frequency (Hz),Baseline_Permittivity,Baseline_Conductivity
1000000.0,2.2000628314396558,0.014999901304280687
61595959.5959596,2.203774294170678,0.014630191775541954
122191919.1919192,2.2069452139589076,0.013597360249717751
182787878.78787878,2.20912146130723,0.012049325719640118
243383838.3838384,2.2099913606830253,0.010207792986947042
303979797.97979796,2.209430327740914,0.008336500774050027
364575757.57575756,2.2075187119141466,0.006703449865690117
425171717.17171717,2.204530289012917,0.005542520850877493
485767676.7676768,2.2008930518847065,0.0050199784555882065
546363636.3636364,2.1971279145791396,0.005210659613911337
606959595.9595959,2.193774108620611,0.006087255549743545
667555555.5555556,2.19131195590784,0.007524222856723868
728151515.1515151,2.1900940784710063,0.00931576344342448
788747474.7474748,2.1902948970160496,0.011205298310679953
849343434.3434343,2.1918856509211424,0.01292221401622299
909939393.939394,2.194638517245562,0.014220619109617118
970535353.5353535,2.19815923883901,0.014914559958637944
1031131313.1313131,2.2019435886527146,0.014904652463453454
1091727272.7272727,2.205449583605243,0.014192315545419679
1152323232.3232324,2.2081751057525882,0.012879567933475543
1212919191.9191918,2.209729814094407,0.011154417351771901
1273515151.5151515,2.2098910480260217,0.009263934624686972
1334111111.1111112,2.208635716113662,0.007478868944092717
1394707070.7070708,2.206143603179444,0.0060548719927762664
1455303030.3030303,2.20277162206543,0.005195884287238152
1515898989.89899,2.1990026976608807,0.005024927436599874
1576494949.4949496,2.195376603867,0.00556648536155119
1637090909.090909,2.1924126588189288,0.006742997781624192
1697686868.6868687,2.190535349720396,0.008385968162892206
1758282828.2828283,2.190013539076221,0.010260095279575821
1818878787.878788,2.1909219590213214,0.012096972340627635
1879474747.4747474,2.1931305084114276,0.013633527394782186
1940070707.070707,2.1963228855136467,0.014649699696062373
2000666666.6666667,2.200041887779554,0.014999956135155689
2061262626.2626262,2.2037548910049516,0.014634134049122234
2121858585.8585858,2.2069301301499937,0.013604625365559873
2182454545.4545455,2.209112857112409,0.012058873189928498
2243050505.050505,2.2099904683689355,0.010218255451997315
2303646464.646465,2.2094372751020677,0.008346379831408287
2364242424.2424245,2.207532503970589,0.0067113306667793814
2424838383.8383837,2.204548950508232,0.005547274731311874
2485434343.4343433,2.2009139101762396,0.005020924579056717
2546030303.030303,2.1971479824057556,0.005207662479485652
2606626262.6262627,2.193790511929159,0.006080744397909215
2667222222.2222223,2.191322345466311,0.007515130194862231
2727818181.818182,2.1900969663184062,0.009305391494938958
2788414141.4141417,2.1902898695636477,0.011195132514517106
2849010101.010101,2.191873428185396,0.012913710286820111
2909606060.6060605,2.1946208497295454,0.0142149953252604
2970202020.20202,2.1981386568306838,0.014912621540634888
3030797979.79798,2.2019230398447722,0.01490667702614049
3091393939.3939395,2.205432010935519,0.014198013137080476
3151989898.989899,2.208163025925446,0.012888122562344787
3212585858.585859,2.2097249571459843,0.01116460384989648
3273181818.181818,2.209894109553714,0.00927429411275756
3333777777.7777777,2.2086462576547756,0.007487917767705509
3394373737.3737373,2.2061601150064916,0.006061314206908617
3454969696.969697,2.2027917394047134,0.00519879725755694
3515565656.5656567,2.199023539368195,0.005023893976347204
3576161616.1616163,2.195395185056352,0.0055616534797642385
3636757575.757576,2.1924263183488395,0.006735059485730644
3697353535.353535,2.1905421313144964,0.00837606035150911
3757949494.949495,2.19001247149521,0.01024963691934423
3818545454.5454545,2.1909131951609075,0.012087461246121813
3879141414.141414,2.19311530340507,0.013626325716057439
3939737373.737374,2.1963034169761553,0.014645838835663096
4000333333.3333335,2.2000209439357126,0.014999989033776896
4060929292.929293,2.203735471368436,0.014638055995123349
4121525252.5252523,2.2069150159421387,0.013611874669751611
4182121212.121212,2.209104212944138,0.012068411628991785
4242717171.7171717,2.2099895322317633,0.010228716959672405
4303313131.313131,2.209444181066716,0.00835626614235362
4363909090.909091,2.207546262985784,0.006719225893581307
4424505050.505051,2.2045675920496253,0.005552048143577733
4485101010.10101,2.2009347644589154,0.005021892543185994
4545696969.69697,2.197168062742716,0.005204686366596946
4606292929.29293,2.1938069424755593,0.006074250437847414
4666888888.888889,2.1913327730892203,0.007506048432855251
4727484848.484849,2.1900998976053563,0.00929502259334619
4788080808.080808,2.190284884704629,0.011184961475918331
4848676767.676767,2.19186124109677,0.012905193776458417
4909272727.272727,2.194603205809114,0.014209353051872042
4969868686.868687,2.19811808298712,0.01491066157347029
5030464646.464646,2.201902482601436,0.014908680065741545
5091060606.060606,2.205414414438338,0.014203692314201828
5151656565.656566,2.208150910291278,0.012896664522495504
5212252525.252525,2.209720057539142,0.011174785239498837
5272848484.848485,2.209897127681001,0.009284656784129213
5333444444.444445,2.208656761269173,0.007496977610539987
5394040404.040404,2.206176599812261,0.0060677736980438305
5454636363.636364,2.2028118444980618,0.0052017312882999
5515232323.232324,2.1990443853587434,0.005022882343730073
5575828282.828283,2.1954137864446754,0.005556841066736545
5636424242.424242,2.192440011100623,0.006727135511463523
5697020202.020202,2.1905489543954353,0.008366159663519862
5757616161.616161,2.190011447724385,0.010239177464083033
5818212121.212121,2.1909044711596652,0.012077940994989735
5878808080.808081,2.1931001285983602,0.013619108130493959
5939404040.40404,2.1962839646536856,0.014641957596341751
6000000000.0,2.2,0.015
